post_id,discussion_topic_title,discussion_topic_message,url
348887,Share any difficulties/ask for help from other teams.,"<p>Is there something you think is technically possible but you just don't have the ability to do it? Are there questions you are struggling with that you think another person or team can help with? Ask those questions here.</p>
<p>P.S. The Hackathon Team won't necessarily be monitoring this section, it is more for participants to discuss issues. But please come talk to the Hackathon team if you are having trouble and we will try to help if we can!</p>",https://ubc.instructure.com/courses/46341/discussion_topics/348887
348886,Share things you can't do (based on technical limitations) that you wish you could.,"<p>Use this to discuss any shortcomings of the Canvas API that you would like to share. Data that you can't access due to your role as student, data that is not accessible at all etc.</p>
<ul>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">There’s no reference in the API docs to this feature, but it would be useful to have</span></li>
<li style=""font-weight: 400;""><span style=""font-weight: 400;"">This is an existing, documented feature, but it’s not available to the student role</span></li>
</ul>",https://ubc.instructure.com/courses/46341/discussion_topics/348886
348885,Hackathon Open Q&A ,"<p>Have a general question, ask here!</p>",https://ubc.instructure.com/courses/46341/discussion_topics/348885
348884,Share your ideas and discoveries.,"<p>Use this forum to share what you are doing, your ideas, or anything else you may want to collaborate on with the rest of the teams.</p>",https://ubc.instructure.com/courses/46341/discussion_topics/348884
348883,Let's Get Some Discussion Started,"<p>Use this as a space to introduce yourselves. </p>
<ul>
<li>What brought you here?</li>
<li>What skills will you bring to the hackathon?</li>
<li>What skills would you like to learn?</li>
<li>Any initial project ideas?</li>
</ul>",https://ubc.instructure.com/courses/46341/discussion_topics/348883
348882,What do you see?,"<p><a href=""https://en.wikipedia.org/wiki/The_dress"">https://en.wikipedia.org/wiki/The_dress</a></p>
<p> </p>",https://ubc.instructure.com/courses/46341/discussion_topics/348882
348881,What do you hear? ,"<p><iframe src=""https://www.youtube.com/embed/DdvN4WqJh6g"" width=""560"" height=""315"" allowfullscreen=""allowfullscreen"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe></p>",https://ubc.instructure.com/courses/46341/discussion_topics/348881
348880,What do you mean?,"<p><iframe src=""https://www.youtube.com/embed/DK_0jXPuIr0"" width=""560"" height=""315"" allowfullscreen=""allowfullscreen"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture""></iframe></p>",https://ubc.instructure.com/courses/46341/discussion_topics/348880
348879,Hackathon Feedback,No message,https://ubc.instructure.com/courses/46341/discussion_topics/348879
348878,Learning Analytics Conference at UBC,"<p>If you're interested in learning analytics - there's a conference at UBC in June: <a href=""https://solaresearch.org/events/lasi/lasi19/"">https://solaresearch.org/events/lasi/lasi19/</a></p>
<p>Students get their membership for free (UBC is an institutional member) and can apply for scholarships for registration. Scholarships apply only to PhD students.</p>",https://ubc.instructure.com/courses/46341/discussion_topics/348878
